QuestionId,QuestionTitle,QuestionBody,AcceptedAnswerId,AcceptedAnswerBody
28658735,What are Keycloak's OAuth2 / OpenID Connect endpoints?,"We are trying to evaluate Keycloak as an SSO solution, and it looks good in many respects, but the documentation is painfully lacking in the basics.

For a given Keycloak installation on `http://localhost:8080/` for realm `test`, what are the [OAuth2 Authorization Endpoint](https://www.rfc-editor.org/rfc/rfc6749#section-3.1), [OAuth2 Token Endpoint](https://www.rfc-editor.org/rfc/rfc6749#section-3.2) and [OpenID Connect UserInfo Endpoint](http://openid.net/specs/openid-connect-core-1_0.html#UserInfo) ?

We are not interested in using Keycloak's own client library, we want to use standard OAuth2 / OpenID Connect client libraries, as the client applications using the keycloak server will be written in a wide range of languages (PHP, Ruby, Node, Java, C#, Angular). Therefore the examples that use the Keycloak client aren't of use for us.",30449500,"For Keycloak 1.2 the above information can be retrieved via the url

    
```
http://keycloakhost:keycloakport/auth/realms/{realm}/.well-known/openid-configuration
```

For example, if the realm name is _demo_:

```
http://keycloakhost:keycloakport/auth/realms/demo/.well-known/openid-configuration
```

An example output from above url:

```json
{
    ""issuer"": ""http://localhost:8080/auth/realms/demo"",
    ""authorization_endpoint"": ""http://localhost:8080/auth/realms/demo/protocol/openid-connect/auth"",
    ""token_endpoint"": ""http://localhost:8080/auth/realms/demo/protocol/openid-connect/token"",
    ""userinfo_endpoint"": ""http://localhost:8080/auth/realms/demo/protocol/openid-connect/userinfo"",
    ""end_session_endpoint"": ""http://localhost:8080/auth/realms/demo/protocol/openid-connect/logout"",
    ""jwks_uri"": ""http://localhost:8080/auth/realms/demo/protocol/openid-connect/certs"",
    ""grant_types_supported"": [
        ""authorization_code"",
        ""refresh_token"",
        ""password""
    ],
    ""response_types_supported"": [
        ""code""
    ],
    ""subject_types_supported"": [
        ""public""
    ],
    ""id_token_signing_alg_values_supported"": [
        ""RS256""
    ],
    ""response_modes_supported"": [
        ""query""
    ]
}
```

Found information at https://issues.jboss.org/browse/KEYCLOAK-571

Note: You might need to add your client to the _Valid Redirect URI_ list"
42186537,"Resources, scopes, permissions and policies in keycloak","I want to create a fairly simple role-based access control system using Keycloak's authorizaion system. The system Keycloak is replacing allows us to create a ""user"", who is a member of one or more ""groups"". In this legacy system, a user is given ""permission"" to access each of about 250 ""capabilities"" either through group membership (where groups are assigned permissions) or a direct grant of a permission to the user.

I would like to map the legacy system to keycloak authorizations.

It should be simple for me to map each ""capability"" in the existing system to a keycloak resource and a set of keycloak scopes. For example, a ""viewAccount"" capability would obviously map to an ""account"" resource and a ""view"" scope; and ""viewTransaction"" maps to a ""transaction"" resource... but is it best practice to create just one ""view"" scope, and use it across multiple resources (account, transaction, etc)? Or should I create a ""viewAccount"" scope, a ""viewTransaction"" scope, etc?

Similarly, I'm a little confused about permissions. For each practical combination of resource and scope, is it usual practice to create a permission? If there are multiple permissions matching a given resource/scope, what does Keycloak do? I'm guessing that the intention of Keycloak is to allow me to configure a matrix of permissions against resources and scopes, so for example I could have permission to access ""accounts"" and permission for ""view"" scope, so therefore I would have permission to view accounts?

I ask because the result of all this seems to be that my old ""viewAccount"" capability ends up creating an ""Account"" resource, with ""View"" scope, and a ""viewAccount"" permission, which seems to get me back where I was. Which is fine, if it's correct.

Finally, obviously I need a set of policies that determine if viewAccount should be applied. But am I right that this means I need a policy for each of the legacy groups that a user could belong to? For example, if I have a ""helpdesk"" role, then I need a ""helpdesk membership"" policy, which I could then add to the ""viewAccount"" permission. Is this correct?

Thanks,

Mark",58906945,"Full transparency- I am by no means a Keycloak/OAuth/OIDC expert and what I know is mostly from reading the docs, books, good ol' YouTube and playing around with the tool. 

This post will be comprised of two parts: 

1. I'll attempt to answer all your questions to the best of my ability 
2. I'll show you all how you can play around with policies/scopes/permissions in Keycloak without needing to deploy a separate app in order to better understand some of the core concepts in this thread. Do note though that this is mostly meant to get you all started. I'm using `Keycloak 8.0.0`.

# Part I

Some terminology before we get started: 

* In Keycloak, you can create 2 types of permissions: [Resource-Based](https://www.keycloak.org/docs/latest/authorization_services/#_permission_create_resource) and [Scope-Based](https://www.keycloak.org/docs/latest/authorization_services/#_permission_create_scope).
* Simply put, for `Resource-Based` permissions, you apply it directly to your resource 
* For `Scoped-Based` permission, you apply it to your scope(s) or scope(s) **and** resource. 

> is it best practice to create just one ""view"" scope, and use it across multiple resources (account, transaction, etc)? Or should I create a ""viewAccount"" scope, a ""viewTransaction"" scope, etc?

Scopes represent a set of rights at a protected resource. In your case, you have 2 resources: `account` and `transaction`, so I would lean towards the second approach. 

In the long run, having a global `view` scope associated with all your resources (e.g. `account`, `transaction`, `customer`, `settlement`...) makes authorization difficult to both manage and adapt to security requirement changes. 

Here are a few examples that you can check out to get a feel for design

* [Slack API](https://api.slack.com/docs/oauth-scopes)
* [Box API](https://developer.box.com/en/guides/api-calls/permissions-and-errors/scopes/)
* [Stripe](https://stripe.com/docs/connect/oauth-reference) 

Do note though - I am not claiming that you shouldn't share scopes across resources. Matter of fact, `Keycloak` allows this for resources with the same `type`. You could for instance need both `viewAccount` and `viewTransaction` scope to read a transaction under a given account (after all you might need access to the account to view transactions). Your requirements and standards will heavily influence your design. 

> For each practical combination of resource and scope, is it usual practice to create a permission?

Apologies, I don't fully understand the question so I'll be a bit broad. In order to grant/deny access to a `resource`, you need to: 

* Define your [policies](https://www.keycloak.org/docs/latest/authorization_services/index.html#_policy_overview) 
* Define your [permissions](https://www.keycloak.org/docs/latest/authorization_services/index.html#_permission_overview)
* Apply your policies to your permissions
* Associate your permissions to a `scope` or `resource` (or both)

for policy enforcement to take effect. See [Authorization Process](https://www.keycloak.org/docs/latest/authorization_services/index.html#the-authorization-process). 

How you go about setting all this up is entirely up to you. You could for instance: 

 * Define individual policies, and tie each policy under the appropriate permission.
 
 * Better yet, define individual policies, then group all your related policies under an `aggregated` policy (a policy of policies) and then associate that aggregated policy with the `scope-based` permission. You could have that `scoped-based` permission apply to both the resource and all its associated scope.

 * Or, you could further break apart your permissions by leveraging the two separate types. You could create permissions solely for your resources via the `resource-based` permission type, and separately associate other permissions solely with a scope via the `scope-based` permission type. 

You have options.  

>  If there are multiple permissions matching a given resource/scope, what does Keycloak do? 

This depends on 

1. The resource server's  `Decision Strategy`
2. Each permission's `Decision Strategy`
3. Each policy's `Logic` value. 

The `Logic` value is similar with Java's `!` operator. It can either be `Positive` or `Negative`. When the `Logic` is `Positive`, the policy's final evaluation remains unchanged. When its `Negative`, the final result is negated (e.g. if a policy evaluates to false and its `Logic` is `Negative`, then it will be `true`). To keep things simple, let's assume that the `Logic` is always set to `Positive`. 

The `Decision Strategy` is what we really want to tackle. The `Decision Strategy` can either be `Unanimous` or `Affirmative`. From the docs, 

> **Decision Strategy**

> This configurations changes how the policy evaluation engine decides whether or not a resource or scope should be granted based on the outcome from all evaluated permissions. **Affirmative** means that at least one permission must evaluate to a positive decision in order grant access to a resource and its scopes. **Unanimous** means that all permissions must evaluate to a positive decision in order for the final decision to be also positive. As an example, if two permissions for a same resource or scope are in conflict (one of them is granting access and the other is denying access), the permission to the resource or scope will be granted if the chosen strategy is Affirmative. Otherwise, a single deny from any permission will also deny access to the resource or scope.

Let's use an example to better understand the above. Suppose you have a resource with 2 permissions and someone is trying to access that resource (remember, the `Logic` is `Positive` for all policies). Now: 

1. `Permission One` has a `Decision Strategy` set to `Affirmative`. It also has 3 policies where they each evaluate to: 
  * `true` 
  * `false` 
  * `false` 

Since one of the policies is set to `true`, `Permission One` is set to `true` (Affirmative - only 1 needs to be `true`).
 
2. `Permission Two` has a `Decision Strategy` set to `Unanimous` with 2 policies: 
  * `true` 
  * `false` 

In this case `Permission Two` is `false` since one policy is false (Unanimous - they all need to be `true`). 

3. Now comes the **final** evaluation. If the resource server's `Decision Strategy` is set to `Affirmative`, access to that resource would be granted because `Permission One` is `true`. If on the other hand, the resource server's `Decision Strategy` is set to `Unanimous`, access would be denied.

See: 

* [Resource Server Settings](https://www.keycloak.org/docs/latest/authorization_services/index.html#resource_server_settings)
* [Managing Permissions](https://www.keycloak.org/docs/latest/authorization_services/index.html#_permission_overview) 

We'll keep revisiting this. I explain how to set the resource sever's `Decision Strategy`  in Part II. 

> so for example I could have permission to access ""accounts"" and permission for ""view"" scope, so therefore I would have permission to view accounts? 

The short answer is yes. Now, let's expand on this a bit :)

If you have the following scenario: 

 1. Resource server's `Decision Strategy` set to `Unanimous` or `Affirmative` 
 2. Permission to access the `account/{id}` resource is `true` 
 3. Permission to access the `view` scope is `true`

You will be granted access to view the account. 
 
 * `true` + `true` is equal to `true` under the `Affirmative` or `Unanimous` `Decision Strategy`.  

Now if you have this 

 1. Resource server's `Decision Strategy` set to `Affirmative` 
 2. Permission to access the `account/{id}` resource is `true`
 3. Permission to access the `view` scope is `false` 

You will *also* be granted access to view the account. 

 * `true` + `false` is `true` under the `Affirmative` strategy. 

The point here is that access to a given resource also depends on your setup so be careful as you may not want the second scenario. 

> But am I right that this means I need a policy for each of the legacy groups that a user could belong to?  

I'm not sure how Keycloak behaved 2 years ago, but you can specify a [Group-Based policy](https://www.keycloak.org/docs/latest/authorization_services/#_policy_group) and simply add all your groups under that policy. You certainly do not need to create one policy per group. 

> For example, if I have a ""helpdesk"" role, then I need a ""helpdesk membership"" policy, which I could then add to the ""viewAccount"" permission. Is this correct?

Pretty much. There are many ways you can set this up. For instance, you can: 

1. Create your resource (e.g. `/account/{id}`) and associate it with the `account:view` scope. 
2. create a [Role-Based Policy](https://www.keycloak.org/docs/latest/authorization_services/#_policy_rbac) and add the `helpdesk` role under that policy 
3. Create a `Scope-Based` permission called `viewAccount` and tie it with `scope`, `resource` and `policy`

We'll set up something similar in Part II. 

# Part II 

Keycloak has a neat little tool which allows you test all your policies. Better yet, you actually do not need to spin up another application server and deploy a separate app for this to work.  

Here's the scenario that we'll set up: 

 1. We'll create a new realm called `stackoverflow-demo`
 2. We'll create a `bank-api` client under that realm 
 3. We will define a resource called `/account/{id}` for that client 
 4. The `account/{id}` will have the `account:view` scope
 5. We'll create a user called `bob` under the new realm 
 6. We'll also create three roles: `bank_teller`, `account_owner` and `user` 
   * We will not associate `bob` with any roles. This is not needed right now. 
 7. We'll set up the following two `Role-Based` policies: 
   * `bank_teller` and `account_owner` have access to the `/account/{id}` resource 
   * `account_owner` has access to the `account:view` scope 
   *  `user` does not have access to the resource or scope
 8. We'll play around with the `Evaluate` tool to see how access can be granted or 
    denied. 

Do forgive me, this example is unrealistic but I'm not familiar with the banking sector :) 


## Keycloak setup 

### Download and run Keycloak 
```
cd tmp
wget https://downloads.jboss.org/keycloak/8.0.0/keycloak-8.0.0.zip 
unzip keycloak-8.0.0.zip
cd keycloak-8.0.0/bin
./standalone.sh 
```

### Create initial admin user 
1. Go to ` http://localhost:8080/auth`
2. Click on the `Administration Console` link  
3. Create the admin user and login 

Visit [Getting Started](https://www.keycloak.org/docs/latest/getting_started/) for more information. For our purposes, the above is enough. 

## Setting up the stage 

### Create a new realm 
1. Hover your mouse around the `master` realm and click on the `Add Realm` button.
2. Enter `stackoverflow-demo` as the name. 
3. Click on `Create`. 
4. The top left should now say `stackoverflow-demo` instead of the `master` realm. 

See [Creating a New Realm](https://www.keycloak.org/docs/latest/getting_started/index.html#_create-realm) 

### Create a new user 
1. Click on the `Users` link on the left
2. Click on the `Add User` button 
3. Enter the `username` (e.g. `bob`) 
4. Ensure that `User Enabled` is turned on 
5. Click `Save` 

See [Creating a New User](https://www.keycloak.org/docs/latest/getting_started/index.html#_create-new-user)

### Create new roles 
1. Click on the `Roles` link 
2. Click on `Add Role` 
3. Add the following roles: `bank_teller`, `account_owner` and `user`

Again, do **not** associate your user with the roles. For our purposes, this is not needed. 

See [Roles](https://www.keycloak.org/docs/latest/server_admin/#roles)

### Create a client 
1. Click on the `Clients` link 
2. Click on `Create`
3. Enter `bank-api` for the `Client ID` 
4. For the `Root URL` enter `http://127.0.0.1:8080/bank-api`
5. Click on `Save` 
6. Ensure that `Client Protocol` is `openid-connect` 
7. Change the `Access Type` to `confidential` 
8. Change `Authorization Enabled` to `On`
9. Scroll down and hit `Save`. A new `Authorization` tab should appear at the top. 
10. Click on the `Authorization` tab and then `Settings` 
11. Ensure that the `Decision Strategy` is set to `Unanimous` 
   * This is the resource server's `Decision Strategy`

See:

 * [Creating a Client Application](https://www.keycloak.org/docs/latest/authorization_services/#_resource_server_create_client)
 * [Enabling Authorization Services](https://www.keycloak.org/docs/latest/authorization_services/#_resource_server_enable_authorization)

### Create Custom Scopes
1. Click on the `Authorization` tab 
2. Click on `Authorization Scopes` > `Create` to bring up `Add Scope` page 
3. Enter `account:view` in the name and hit enter. 

### Create ""View Account Resource"" 
1. Click on `Authorization` link above 
2. Click on `Resources`
3. Click on `Create` 
4. Enter `View Account Resource` for both the `Name` and `Display name` 
5. Enter `account/{id}` for the `URI` 
6. Enter `account:view` in the `Scopes` textbox
7. Click `Save`

See [Creating Resources](https://www.keycloak.org/docs/latest/authorization_services/#_resource_create)
 
### Create your policies 
1. Again under the `Authorization` tab, click on `Policies` 
2. Select `Role` from the the `Create Policy` dropdown 
3. In the `Name` section, type `Only Bank Teller and Account Owner Policy` 
4. Under `Realm Roles` select both the `bank_teller` and `account_owner` role
5. Ensure that `Logic` is set to `Positive` 
5. Click `Save` 
6. Click on the `Policies` link  
7. Select `Role` again from the `Create Policy` dropdown. 
8. This time use `Only Account Owner Policy` for the `Name` 
9. Under `Realm Roles` select `account_owner`
10. Ensure that `Logic` is set to `Positive`
11. Click `Save` 
12. Click on the `Policies` link at the top, you should now see your newly created policies. 

See [Role-Based Policy](https://www.keycloak.org/docs/latest/authorization_services/#_policy_rbac) 

Do note that Keycloak has much more powerful policies. See [Managing Policies](https://www.keycloak.org/docs/latest/authorization_services/#_policy_overview)

### Create Resource-Based Permission
1. Again under the `Authorization` tab, click on `Permissions`
2. Select `Resource-Based` 
3. Type `View Account Resource Permission` for the `Name` 
4. Under `Resources` type `View Account Resource Permission` 
5. Under `Apply Policy` select `Only Bank Teller and Account Owner Policy` 
6. Ensure that the `Decision Strategy` is set to `Unanimous`
7. Click `Save` 

See [Create Resource-Based Permissions](https://www.keycloak.org/docs/latest/authorization_services/#_permission_create_resource) 

*Phew...* 

### Evaluating the Resource-Based permission 
1. Again under the `Authorization` tab, select `Evaluate` 
2. Under `User` enter `bob`  
3. Under `Roles` select `user` 
   * This is where we will associate our user with our created roles. 
4. Under `Resources` select `View Account Resource` and click `Add` 
5. Click on Evaluate. 
6. Expand the `View Account Resource with scopes [account:view]` to see the results and you should see `DENY`. 

[![enter image description here][1]][1]


7. This makes sense because we only allow two roles access to that resource via the `Only Bank Teller and Account Owner Policy`. Let's test this to make sure this is true! 
8. Click on the `Back` link right above the evaluation result 
9. Change bob's role to `account_owner` and click on `Evaluate`. You should now see the result as `PERMIT`. Same deal if you go back and change the role to `bank_teller` 

See [Evaluating and Testing Policies](https://www.keycloak.org/docs/latest/authorization_services/#_policy_evaluation_overview)

### Create Scope-Based Permission 
1. Go back to the `Permissions` section 
2. Select `Scope-Based` this time under the `Create Permission` dropdown. 
3. Under `Name`, enter `View Account Scope Permission` 
4. Under `Scopes`, enter `account:view` 
5. Under `Apply Policy`, enter `Only Account Owner Policy` 
6. Ensure that the `Decision Strategy` is set to `Unanimous`
7. Click `Save`

See [Creating Scope-Based Permissions](https://www.keycloak.org/docs/latest/authorization_services/index.html#_permission_create_scope) 

Second test run 

### Evaluating our new changes 
1. Go back to the `Authorization` section 
2. Click on `Evaluate`
3. User should be `bob` 
4. Roles should be `bank_teller` 
5. Resources should be `View Account Resource` and click `Add` 
6. Click on `Evaluate` and we should get `DENY`. 
    * Again this should come as no surprise as the `bank_teller` has access to the `resource` but not the `scope`. Here one permission evaluates to true, and the other to false. Given that the resource server's `Decision Strategy` is set to `Unanimous`, the final decision is `DENY`. 
7. Click on `Settings` under the `Authorization` tab, and change the `Decision Strategy` to `Affirmative` and go back to steps 1-6 again. This time, the final result should be `PERMIT` (one permission is true, so final decision is true). 
8. For the sake of completeness, turn the resource server's `Decision Strategy` back to `Unanimous`. Again, go back to steps 1 through 6 but this time, set the role as `account_owner`.  This time, the final result is again `PERMIT` which makes sense, given that the `account_owner` has access to both the `resource` and `scope`.


  [1]: https://i.stack.imgur.com/MyKMU.png"
66662820,M1 docker preview and keycloak 'image's platform (linux/amd64) does not match the detected host platform (linux/arm64/v8)' Issue,"I just downloaded Docker Preview v3.1 https://docs.docker.com/docker-for-mac/apple-m1/ and tried running keycloak.

Anyone else running into this issue?

```
docker run -p 8080:8080 -e KEYCLOAK_USER=admin -e KEYCLOAK_PASSWORD=admin quay.io/keycloak/keycloak:12.0.4
WARNING: The requested image's platform (linux/amd64) does not match the detected host platform (linux/arm64/v8) and no specific platform was requested
```",66664440,"Just found this post:
https://github.com/docker/for-mac/issues/5310#issuecomment-779791882

Using this image, I am now able to startup keycloak.
https://hub.docker.com/r/wizzn/keycloak"
44752273,Do Keycloak Clients have a Client Secret?,"Does keycloak client id has a client secret? I tried to create a client in keycloak admin but I was not able to spot client secret.

Is it auto generated? Where can I get the secret?",44753547,"Your client need to have the `access-type` set to `confidential` , then you will have a new tab `credentials` where you will see the client secret.  
https://wjw465150.gitbooks.io/keycloak-documentation/content/server_admin/topics/clients/oidc/confidential.html"
52040265,How to specify refresh tokens lifespan in Keycloak,"Keycloak refresh token lifetime is 1800 seconds:

> ""refresh_expires_in"": 1800 

How to specify different expiration time? In Keycloak admin UI, only access token lifespan can be specified:

[![enter image description here][1]][1]


  [1]: https://i.stack.imgur.com/18KSI.png",54679852,The refresh token lifetime is controlled by the SSO Session Idle Setting.  30 minutes = 30 * 60 = 1800 seconds (the refresh_expires_in value)
53795179,Keycloak Missing form parameter: grant_type,"I have keycloak standalone running on my local machine.

I created new realm called 'spring-test', then new client called 'login-app'

According to the rest documentation:

    POST: http://localhost:8080/auth/realms/spring-test/protocol/openid-connect/token
    
    {
        ""client_id"": ""login-app"",
        ""username"": ""user123"",
        ""password"": ""pass123"",
        ""grant_type"": ""password""
    }

should give me the jwt token but I get bad request with response

    {
        ""error"": ""invalid_request"",
        ""error_description"": ""Missing form parameter: grant_type""
    }

I am assuming that something is missing in my configuration.


EDIT:
I was using json body but it should be `application/x-www-form-urlencoded`:
the following body works:

    token_type_hint:access_token&token:{token}&client_id:{client_id}&client_secret:{client_secret}

",53795226,"You should send your data in a POST request with `Content-Type` header value set to `application/x-www-form-urlencoded`, not json."
51386337,Refresh access_token via refresh_token in Keycloak,"I need to make the user keep login in the system if the user's `access_token` get expired and user want to keep login. How can I get newly updated `access_token` with the use of `refresh_token` on [Keycloak][1]?

I am using [vertx-auth][2] for the auth implementation with [Keycloak][1] on [vert.x][3]. Is it possible to refresh `access_token` with [vertx-auth][2] or [Keycloak][1]'s REST API itself? Or what will be another implementation of this?


  [1]: https://www.keycloak.org
  [2]: https://github.com/vert-x3/vertx-auth
  [3]: http://vertx.io",51387379,"keycloak has REST API for creating an `access_token` using `refresh_token`. It is a `POST endpoint with application/x-www-form-urlencoded`

Here is how it looks: 

    Method: POST
    URL: https://keycloak.example.com/auth/realms/myrealm/protocol/openid-connect/token
    Body type: x-www-form-urlencoded
    Form fields:	
    client_id : <my-client-name>
    grant_type : refresh_token
    refresh_token: <my-refresh-token>

This will give you new access token using refresh token.

**NOTE:** if your refresh token is expired it will throw 400 exception in that you can make user login again. 

Check out a sample in Postman, you can develop and corresponding API using this.

[![Sample in Postman][1]][1]


  


  [1]: https://i.stack.imgur.com/3cvvt.png"
46689034,Logout user via Keycloak REST API doesn't work,"I have issue while calling Keycloak's **logout** endpoint from an (mobile) application. 

This scenario is supported as stated in [its documentation](http://www.keycloak.org/docs/latest/securing_apps/topics/oidc/oidc-generic.html):

> /realms/{realm-name}/protocol/openid-connect/logout

> The logout endpoint logs out the authenticated user.

> The user agent can be redirected to the endpoint, in which case the active user session is logged out. Afterward the user agent is redirected back to the application.

> **The endpoint can also be invoked directly by the application. To invoke this endpoint directly the refresh token needs to be included as well as the credentials required to authenticate the client**.

My request has following format:

    POST http://localhost:8080/auth/realms/<my_realm>/protocol/openid-connect/logout
    Authorization: Bearer <access_token>
    Content-Type: application/x-www-form-urlencoded
    
    refresh_token=<refresh_token>

but this error always occurs:

    HTTP/1.1 400 Bad Request
    Connection: keep-alive
    X-Powered-By: Undertow/1
    Server: WildFly/10
    Content-Type: application/json
    Content-Length: 123
    Date: Wed, 11 Oct 2017 12:47:08 GMT
    
    {
      ""error"": ""unauthorized_client"",
      ""error_description"": ""UNKNOWN_CLIENT: Client was not identified by any client authenticator""
    }

It seems that Keycloak is unable to detect the current client's identity event if I've provided **access_token**. I've the used same **access_token** to access other Keycloak's APIs without any problems, like **userinfo**
 (*/auth/realms/<my_realm>/protocol/openid-connect/userinfo*). 

My request was based on this [Keycloak's issue][1]. The author of the issue got it worked but it is not my case. 

I'm using Keycloak **3.2.1.Final**.  


  [1]: https://issues.jboss.org/browse/KEYCLOAK-2476

Do you have that same problem? Have you got any idea how to solve it?",46769801,"Finally, I've found the solution by looking at the Keycloak's source code: https://github.com/keycloak/keycloak/blob/9cbc335b68718443704854b1e758f8335b06c242/services/src/main/java/org/keycloak/protocol/oidc/endpoints/LogoutEndpoint.java#L169. It says:

> If the client is a public client, then you must include a ""client_id"" form parameter.

So what I was missing is the **client_id** form parameter. My request should have been:

    POST http://localhost:8080/auth/realms/<my_realm>/protocol/openid-connect/logout
    Authorization: Bearer <access_token>
    Content-Type: application/x-www-form-urlencoded
    
    client_id=<my_client_id>&refresh_token=<refresh_token>

The session should be destroyed correctly."
32678883,Keycloak retrieve custom attributes to KeycloakPrincipal,"In my rest service i can obtain the principal information after authentication using 

    KeycloakPrincipal kcPrincipal = (KeycloakPrincipal) servletRequest.getUserPrincipal();

statement.

Keycloak principal doesn't contain all the information i need about the authenticated user.
Is it possible to customize my own principal type?
On the keycloak-server-end I've developed a user federation provider. I saw that UserModel makes possible to add a set of custom attributes to my user.

Is it possible to insert my custom principal in that code? 

Is it possible to retrieve this attributes from keycloak principal?

What is the way?
",32890003,"To add custom attributes you need to do three things:

  1. Add attributes to admin console
  2. Add claim mapping
  3. Access claims

The first one is explained pretty good here: https://www.keycloak.org/docs/latest/server_admin/index.html#user-attributes

**Add claim mapping:**

  1. Open the admin console of your realm.
  2. Go to Clients and open your client
  3. This only works for Settings > Access Type confidential or public (not bearer-only)
  4. Go to Mappers
  5. Create a mapping from your attribute to json
  6. Check ""Add to ID token""

**Access claims:**

	final Principal userPrincipal = httpRequest.getUserPrincipal();

	if (userPrincipal instanceof KeycloakPrincipal) {

		KeycloakPrincipal<KeycloakSecurityContext> kp = (KeycloakPrincipal<KeycloakSecurityContext>) userPrincipal;
		IDToken token = kp.getKeycloakSecurityContext().getIdToken();

		Map<String, Object> otherClaims = token.getOtherClaims();

		if (otherClaims.containsKey(""YOUR_CLAIM_KEY"")) {
			yourClaim = String.valueOf(otherClaims.get(""YOUR_CLAIM_KEY""));
		}
	} else {
		throw new RuntimeException(...);
	}



I used this for a custom attribute I added with a custom theme."
47181821,Using Keycloak behind a reverse proxy: Could not open Admin loginpage because mixed Content,"so I have a problem getting keycloak 3.2.1 to work behind kong (0.10.3), a reverse proxy based on nginx. 

Scenario is:

I call keycloak via my gateway-route via `https://{gateway}/auth` and it shows me the entrypoint with keycloak logo, link to admin console etc. - so far so good. 

But when clicking on administration console -> calling `https://{gateway}/auth/admin/master/console/` , keycloak tries to load its css/js via http (see screenie below), which my browser blocks because mixed content.

I searched around and found this thread: https://stackoverflow.com/questions/35169503/keycloak-apache-server-configuration-with-mixed-content-problems which lead to this github repo: https://github.com/dukecon/keycloak_postgres_https

From there on, I tried to integrate its' cli into my dockerfile with success (did not change the files' contents, just copied them into my repo and add/run them from dockerfile). This is my dockerfile right now:

    FROM jboss/keycloak-postgres:3.2.1.Final
    
    USER root
    
    ADD config.sh /tmp/
    ADD batch.cli /tmp/
    
    RUN bash /tmp/config.sh
    
    #Give correct permissions when used in an OpenShift environment.
    RUN chown -R jboss:0 $JBOSS_HOME/standalone && \
        chmod -R g+rw $JBOSS_HOME/standalone
    
    USER jboss
    EXPOSE 8080

Sadly, my problem still exists:
[![error][1]][1]

So I am out of ideas for now and hope you could help me out:

- How do I tell keycloak to call its' css-files via https here? 

- do I have to change something in the cli script? 

Here's the content of the script:

config.sh:
    
    #!/bin/bash -x
    
    set -e
    
    JBOSS_HOME=/opt/jboss/keycloak
    JBOSS_CLI=$JBOSS_HOME/bin/jboss-cli.sh
    JBOSS_MODE=${1:-""standalone""}
    JBOSS_CONFIG=${2:-""$JBOSS_MODE.xml""}
    
    echo ""==> Executing...""
    cd /tmp
    
    $JBOSS_CLI --file=`dirname ""$0""`/batch.cli
    
    # cf. http://stackoverflow.com/questions/34494022/permissions-error-when-using-cli-in-jboss-wildfly-and-docker
    /bin/rm -rf ${JBOSS_HOME}/${JBOSS_MODE}/configuration/${JBOSS_MODE}_xml_history/current

and batch.cli:

    embed-server --std-out=echo
    
    # http://keycloak.github.io/docs/userguide/keycloak-server/html/server-installation.html
    # 3.2.7.2. Enable SSL on a Reverse Proxy
    # First add proxy-address-forwarding and redirect-socket to the http-listener element.
    # Then add a new socket-binding element to the socket-binding-group element.
    
    batch
    
    /subsystem=undertow/server=default-server/http-listener=default:write-attribute(name=proxy-address-forwarding,value=true)
    
    /subsystem=undertow/server=default-server/http-listener=default:write-attribute(name=redirect-socket,value=proxy-https)
    
    /socket-binding-group=standard-sockets/socket-binding=proxy-https:add(port=443)
    
    run-batch
    
    stop-embedded-server


It may be of interest too, that kong is deployed on openshift with a route using a redirect from http to https ( ""insecureEdgeTerminationPolicy"": ""Redirect"" ).


  [1]: https://i.stack.imgur.com/K2qVE.png
",47187279,"This sounds somehow like a duplicate of https://stackoverflow.com/questions/47068266/keycloak-docker-behind-loadbalancer-with-https-fails

Set the request headers ``X-Forwarded-For`` and ``X-Forwarded-Proto`` in _nginx_. Then you have to configure Keycloak (Wildfly, Undertow) to work together with the SSL terminating reverse proxy (aka load balancer). See http://www.keycloak.org/docs/latest/server_installation/index.html#_setting-up-a-load-balancer-or-proxy for a detailed description.

The point is that _nginx_ is terminating SSL and is forwarding the requests to _Keycloak_ as pure _http_. Therefore _Keycloak/Wildfly_ must be told that the incoming _http_ requests from _nginx_ must be handled like they were _https_."
