Key,Subject,Description
,,
KEYCLOAK-19885,Parallelize cache manager init,"We should be able to save more startup time by parallelizing the init of the cache manager.

Cache manager bootstrap is one of the main steps that takes time to execute. By having it running in parallel, the main execution path (quarkus bootstrap and init of providers that do not depend on the cache manager) is not blocked."
,,
KEYCLOAK-19884,Certify Keycloak 15.0.2 to the FAPI Generic profile,"Make sure that Keycloak is certified and listed on this page https://openid.net/certification/#FAPI_OPs in the ""FAPI 1 Advanced Final (Generic)"" part."
,,
KEYCLOAK-19881,Make module 'other' independent,"At this moment, in our testsuite, we have module `integration-arquillian/other` which contains various test sets for different technologies/services. When some of the module is executed, the _SSSD_ and _adapter_ module is built and we don't want it. Those modules should be independent as the other ones and be executed only by specifying the provided profile. "
,,
KEYCLOAK-19877,Update additional Arquillian dependencies,It'd be great to update our Arquillian dependencies
,,
KEYCLOAK-19871,Unable to find keycloak-client-cli-dist with reactor build,"Building Keycloak starting with the server-x-dist like the following:

{code}
mvn -Pdistribution -pl distribution/server-x-dist -am -DskipTests -f $SRC_DIR/pom.xml -T 4 clean package
{code}

Results in a error as keycloak-client-cli-dist hasn't been built in the reactor as there is no dependency on this in server-x-dist, while it at the same time tries to unzip the artifact.
"
,,
KEYCLOAK-19864,Missing org.jboss.logging in keycloak-core modules in adapters,"In  ""Red Hat Single Sign-On 7.5.0 Client Adapter for JBoss EAP 7"", Under Keycloak-core modules , <module name=""org.jboss.logging""/> is missing which is causing class loading issues. 

The ""org.jboss.logging"" is correctly included in Keycloak server distribution inside ""keycloak-core"" module. It is just missing in the keycloak-core module of adapters distribution."
,,
KEYCLOAK-19859,Patching request filter to properly end responses,"After upgrading to Quarkus 2.4.1.Final, JTA transactions were not being completed. The reason is still unknown but I suspect something changed in Resteasy that no longer forces us to use a specific handler in Vert.X to properly complete transactions and close the keycloak session.

So far, we were using a specific handler in Vert.X to delay completing the request to properly support JAX-RS resources returning streams.

But now this seems to be no longer necessary."
,,
